iid,i_year,i_Action,i_Adventure,i_Animation,i_Children's,i_Comedy,i_Crime,i_Documentary ,i_Drama ,i_Fantasy ,i_Film-Noir ,i_Horror ,i_Musical ,i_Mystery ,i_Romance ,i_Sci-Fi ,i_Thriller ,i_War ,i_Western,i_Other
146,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
151,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
153,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
156,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
157,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
158,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
160,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
162,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
163,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
165,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
171,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
172,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
173,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
174,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
177,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
181,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
182,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
183,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
184,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
186,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
187,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
188,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
189,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
191,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
192,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
194,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
196,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
198,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
202,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
204,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
205,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
206,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
207,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
208,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
209,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
210,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
212,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
213,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
214,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
215,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
216,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
217,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
220,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
221,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
222,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
223,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
224,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
225,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
228,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
230,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
231,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
232,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
233,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
235,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
236,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
237,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
238,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
240,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
242,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
245,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
246,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
247,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
249,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
251,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
253,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
254,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
255,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
256,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
257,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
258,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
259,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
261,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
262,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
263,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
265,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
266,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
269,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
270,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
271,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
272,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
273,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
274,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
275,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
276,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
277,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
278,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
279,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
280,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
281,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
282,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
283,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
284,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
285,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
286,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
287,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
288,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
289,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
290,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
292,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
293,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
294,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
295,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
296,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
297,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
298,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
299,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
300,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
301,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302,7,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
303,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
304,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
306,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
307,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
308,7,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
309,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
311,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
312,7,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
313,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
314,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
316,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
317,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
318,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
319,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
320,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
322,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
323,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
324,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
325,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
326,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
